Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,Is Peak Hour,Code Description
2025-01-03,09:29,Friday,SHEPPARD,MUPAA,3,6,S,Line 1 Yonge-University,5726,False,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-03,09:51,Friday,SHEPPARD WEST,MUI,18,21,S,Line 1 Yonge-University,5546,False,Injured or ill Customer (On Train) - Transported
2025-01-03,10:29,Friday,SHEPPARD WEST,MUIR,12,17,N,Line 1 Yonge-University,5851,False,Injured or ill Customer (On Train) - Medical Aid Refused
2025-01-03,11:15,Friday,YONGE BD,SUDP,9,13,E,Line 2 Bloor-Danforth,5074,False,Disorderly Patron
2025-01-03,11:31,Friday,SHEPPARD,SUDP,8,13,S,Line 1 Yonge-University,5406,False,Disorderly Patron
2025-01-03,12:10,Friday,CASTLE FRANK,EUAL,5,9,W,Line 2 Bloor-Danforth,5074,False,Alternating Current
2025-01-03,12:44,Friday,ROSEDALE,PUOPO,6,9,N,Line 1 Yonge-University,5891,False,OPTO (COMMS) Train Door Monitoring
2025-01-03,12:54,Friday,ROSEDALE,PUOPO,5,10,N,Line 1 Yonge-University,5736,False,OPTO (COMMS) Train Door Monitoring
2025-01-03,13:01,Friday,NORTH YORK CTR,SUDP,14,19,N,Line 1 Yonge-University,5891,False,Disorderly Patron
2025-01-03,13:16,Friday,KIPLING,TUO,4,8,E,Line 2 Bloor-Danforth,5346,False,Transportation Department - Other
2025-01-03,14:50,Friday,CASTLE FRANK,MUIR,9,13,E,Line 2 Bloor-Danforth,5071,False,Injured or ill Customer (On Train) - Medical Aid Refused
2025-01-03,15:16,Friday,COXWELL,TUO,3,7,E,Line 2 Bloor-Danforth,5071,False,Transportation Department - Other
2025-01-03,15:30,Friday,KENNEDY BD,MUSAN,3,6,W,Line 2 Bloor-Danforth,5316,False,Unsanitary Vehicle
2025-01-03,16:23,Friday,ISLINGTON,SUDP,9,12,W,Line 2 Bloor-Danforth,5365,True,Disorderly Patron
2025-01-03,16:23,Friday,VICTORIA PARK,SUDP,3,6,E,Line 2 Bloor-Danforth,5035,True,Disorderly Patron
2025-01-03,18:26,Friday,LAWRENCE,SUUT,18,20,S,Line 1 Yonge-University,5866,True,Unauthorized at Track Level
2025-01-03,18:35,Friday,COLLEGE,EUO,11,13,S,Line 1 Yonge-University,5706,True,RC&S Other
2025-01-03,19:21,Friday,HIGH PARK,EUDO,12,16,W,Line 2 Bloor-Danforth,5313,False,Door Problems - Faulty Equipment
2025-01-03,19:27,Friday,COXWELL,MUPAA,3,8,W,Line 2 Bloor-Danforth,5038,False,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-03,19:40,Friday,WELLESLEY,MUPAA,8,10,S,Line 1 Yonge-University,5991,False,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-03,20:09,Friday,UNION,SUAP,10,14,N,Line 1 Yonge-University,6026,False,Assault / Patron Involved
2025-01-03,21:56,Friday,BLOOR,SUDP,3,7,S,Line 1 Yonge-University,6031,False,Disorderly Patron
2025-01-03,23:21,Friday,ST PATRICK,MUPR1,90,96,N,Line 1 Yonge-University,5441,False,Priority One - Train in Contact With Person
2025-01-03,01:33,Friday,DONLANDS,EUVE,5,10,W,Line 2 Bloor-Danforth,5301,False,Work Vehicle
2025-01-03,01:47,Friday,WELLESLEY,MUPAA,6,12,S,Line 1 Yonge-University,5471,False,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-04,06:02,Saturday,KIPLING,MUCL,5,10,E,Line 2 Bloor-Danforth,5301,False,Divisional Clerk Related
2025-01-04,06:40,Saturday,WILSON,PUTWZ,14,0,N,Line 1 Yonge-University,5771,False,Work Zone Problems - Track
2025-01-04,06:57,Saturday,BLOOR,MUPAA,3,9,N,Line 1 Yonge-University,5641,False,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-04,10:18,Saturday,WARDEN,MUO,3,8,E,Line 2 Bloor-Danforth,5541,False,Miscellaneous Other
2025-01-04,10:40,Saturday,EGLINTON WEST,PUOPO,24,28,S,Line 1 Yonge-University,5656,False,OPTO (COMMS) Train Door Monitoring
2025-01-04,12:03,Saturday,VAUGHAN MC,MUATC,14,18,S,Line 1 Yonge-University,5411,False,ATC Project
2025-01-04,12:05,Saturday,KENNEDY BD,EUNT,4,8,W,Line 2 Bloor-Danforth,5141,False,Equipment - No Trouble Found
2025-01-04,12:38,Saturday,OSSINGTON,SUDP,10,14,E,Line 2 Bloor-Danforth,5084,False,Disorderly Patron
2025-01-04,13:14,Saturday,VAUGHAN MC,SUDP,4,8,S,Line 1 Yonge-University,6126,False,Disorderly Patron
2025-01-04,13:25,Saturday,KENNEDY BD,MUSAN,4,8,W,Line 2 Bloor-Danforth,5084,False,Unsanitary Vehicle
2025-01-04,13:39,Saturday,LAWRENCE,SUO,16,20,S,Line 1 Yonge-University,6026,False,Passenger Other
2025-01-04,14:42,Saturday,SHEPPARD WEST,SUAP,15,19,S,Line 1 Yonge-University,6136,False,Assault / Patron Involved
2025-01-04,17:54,Saturday,OLD MILL,SUDP,3,7,E,Line 2 Bloor-Danforth,5066,True,Disorderly Patron
2025-01-04,19:15,Saturday,FINCH TAIL,SUUT,22,26,S,Line 1 Yonge-University,5851,False,Unauthorized at Track Level
2025-01-04,20:14,Saturday,RUNNYMEDE,SUDP,11,16,W,Line 2 Bloor-Danforth,5016,False,Disorderly Patron
2025-01-04,20:38,Saturday,KIPLING,MUIE,5,10,W,Line 2 Bloor-Danforth,5016,False,Injured Employee
2025-01-04,21:01,Saturday,COXWELL,SUAE,6,12,W,Line 2 Bloor-Danforth,5355,False,Assault / Employee Involved
2025-01-04,23:00,Saturday,MUSEUM,SUDP,7,14,N,Line 1 Yonge-University,6076,False,Disorderly Patron
2025-01-04,23:03,Saturday,LANSDOWNE,SUO,4,10,W,Line 2 Bloor-Danforth,5101,False,Passenger Other
2025-01-05,08:33,Sunday,DUPONT,PUTR,10,0,N,Line 1 Yonge-University,6006,True,Rail Related Problem
2025-01-05,08:42,Sunday,SUMMERHILL,EUDO,7,13,S,Line 1 Yonge-University,6126,True,Door Problems - Faulty Equipment
2025-01-05,08:43,Sunday,KENNEDY BD,TUO,4,8,E,Line 2 Bloor-Danforth,5313,True,Transportation Department - Other
2025-01-05,10:23,Sunday,ISLINGTON,SUUT,3,7,W,Line 2 Bloor-Danforth,5108,False,Unauthorized at Track Level
2025-01-05,10:26,Sunday,ISLINGTON,SUO,3,7,E,Line 2 Bloor-Danforth,5268,False,Passenger Other
2025-01-05,11:57,Sunday,UNION TO ST ANDREW STA,MUIR,3,7,N,Line 1 Yonge-University,6061,False,Injured or ill Customer (On Train) - Medical Aid Refused
2025-01-05,13:26,Sunday,LAWRENCE,SUDP,3,7,N,Line 1 Yonge-University,5686,False,Disorderly Patron
2025-01-05,14:16,Sunday,ST GEORGE BD,SUDP,3,7,E,Line 2 Bloor-Danforth,5006,False,Disorderly Patron
2025-01-05,15:54,Sunday,SHEPPARD,PUOPO,5,8,N,Line 1 Yonge-University,5641,False,OPTO (COMMS) Train Door Monitoring
2025-01-05,15:58,Sunday,VAUGHAN MC,MUSAN,4,8,S,Line 1 Yonge-University,5634,False,Unsanitary Vehicle
2025-01-05,16:10,Sunday,BLOOR,MUIR,4,8,N,Line 1 Yonge-University,6081,True,Injured or ill Customer (On Train) - Medical Aid Refused
2025-01-05,16:42,Sunday,WARDEN,MUI,18,22,E,Line 2 Bloor-Danforth,5346,True,Injured or ill Customer (On Train) - Transported
2025-01-05,16:56,Sunday,DAVISVILLE,SUDP,5,9,N,Line 1 Yonge-University,6101,True,Disorderly Patron
2025-01-05,17:34,Sunday,BROADVIEW,SUO,9,14,E,Line 2 Bloor-Danforth,5126,True,Passenger Other
2025-01-05,18:16,Sunday,QUEEN'S PARK,MUPAA,6,10,S,Line 1 Yonge-University,5641,True,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-05,18:18,Sunday,CHRISTIE,MUI,11,15,E,Line 2 Bloor-Danforth,5199,True,Injured or ill Customer (On Train) - Transported
2025-01-05,20:58,Sunday,BLOOR,SUDP,3,9,S,Line 1 Yonge-University,5381,False,Disorderly Patron
2025-01-05,22:13,Sunday,KIPLING,MUSAN,6,12,E,Line 2 Bloor-Danforth,5026,False,Unsanitary Vehicle
2025-01-05,00:26,Sunday,YORK MILLS,SUDP,6,12,S,Line 1 Yonge-University,5391,False,Disorderly Patron
2025-01-05,00:43,Sunday,QUEEN,SUUT,9,15,S,Line 1 Yonge-University,5501,False,Unauthorized at Track Level
2025-01-05,01:27,Sunday,DUNDAS,SUUT,4,10,N,Line 1 Yonge-University,6101,False,Unauthorized at Track Level
2025-01-05,16:12,Sunday,SHEPPARD-YONGE,TUMVS,3,10,E,Line 4 Sheppard,6191,True,Operator Violated Signal
2025-01-06,05:50,Monday,KENNEDY BD,MUO,5,10,W,Line 2 Bloor-Danforth,5212,False,Miscellaneous Other
2025-01-06,05:59,Monday,KING,PUTR,7,0,S,Line 1 Yonge-University,5381,False,Rail Related Problem
2025-01-06,08:19,Monday,ST PATRICK,MUPAA,3,6,S,Line 1 Yonge-University,5811,True,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-06,09:17,Monday,ROSEDALE,MUPAA,4,7,S,Line 1 Yonge-University,5851,False,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-06,09:34,Monday,ROYAL YORK,EUNT,10,12,E,Line 2 Bloor-Danforth,5146,False,Equipment - No Trouble Found
2025-01-06,10:01,Monday,VAUGHAN MC,SUDP,3,6,S,Line 1 Yonge-University,5971,False,Disorderly Patron
2025-01-06,10:20,Monday,SHEPPARD,TUATC,3,6,N,Line 1 Yonge-University,5841,False,ATC Operator Related
2025-01-06,13:16,Monday,KIPLING,MUSAN,4,8,E,Line 2 Bloor-Danforth,5229,False,Unsanitary Vehicle
2025-01-06,13:37,Monday,COXWELL,MUIR,12,16,E,Line 2 Bloor-Danforth,5014,False,Injured or ill Customer (On Train) - Medical Aid Refused
2025-01-06,14:01,Monday,PAPE,MUSAN,4,8,E,Line 2 Bloor-Danforth,5229,False,Unsanitary Vehicle
2025-01-06,14:09,Monday,WARDEN,MUIR,17,21,E,Line 1 Yonge-University,5036,False,Injured or ill Customer (On Train) - Medical Aid Refused
2025-01-06,15:16,Monday,JANE,EUNT,3,7,E,Line 2 Bloor-Danforth,5365,False,Equipment - No Trouble Found
2025-01-06,15:26,Monday,ST PATRICK,SUUT,20,24,S,Line 1 Yonge-University,5981,False,Unauthorized at Track Level
2025-01-06,15:27,Monday,KIPLING,MUTO,6,10,E,Line 2 Bloor-Danforth,5260,False,Misc. Transportation Other - Employee Non-Chargeable
2025-01-06,15:34,Monday,YONGE BD,MUIR,4,8,E,Line 2 Bloor-Danforth,5026,False,Injured or ill Customer (On Train) - Medical Aid Refused
2025-01-06,15:56,Monday,ISLINGTON,TUMVS,3,6,W,Line 2 Bloor-Danforth,5033,False,Operator Violated Signal
2025-01-06,15:56,Monday,DAVISVILLE,MUIR,4,8,S,Line 1 Yonge-University,5426,False,Injured or ill Customer (On Train) - Medical Aid Refused
2025-01-06,16:51,Monday,ST GEORGE YUS,MUPAA,5,9,N,Line 1 Yonge-University,5641,True,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-06,17:12,Monday,KIPLING,MUDD,3,6,E,Line 2 Bloor-Danforth,5308,True,Door Problems - Debris Related
2025-01-06,18:03,Monday,SHEPPARD WEST,MUSAN,4,7,S,Line 1 Yonge-University,5981,True,Unsanitary Vehicle
2025-01-06,18:09,Monday,SHEPPARD,PUOPO,3,5,S,Line 1 Yonge-University,5391,True,OPTO (COMMS) Train Door Monitoring
2025-01-06,18:15,Monday,SHERBOURNE,PUSRA,8,11,E,Line 2 Bloor-Danforth,5095,True,Subway Radio System Fault 
2025-01-06,18:16,Monday,YORK MILLS,PUOPO,4,7,S,Line 1 Yonge-University,5391,True,OPTO (COMMS) Train Door Monitoring
2025-01-06,20:12,Monday,KIPLING,MUSAN,4,8,W,Line 2 Bloor-Danforth,5111,False,Unsanitary Vehicle
2025-01-06,22:33,Monday,WOODBINE,SUDP,4,9,E,Line 2 Bloor-Danforth,5041,False,Disorderly Patron
2025-01-06,01:01,Monday,ST ANDREW,MUIR,15,21,N,Line 1 Yonge-University,5861,False,Injured or ill Customer (On Train) - Medical Aid Refused
2025-01-06,01:34,Monday,ST GEORGE BD,EUNT,13,18,W,Line 2 Bloor-Danforth,5299,False,Equipment - No Trouble Found
2025-01-07,05:59,Tuesday,KING,PUTR,9,0,S,Line 1 Yonge-University,5446,False,Rail Related Problem
2025-01-07,06:00,Tuesday,FINCH,PUSRA,4,8,S,Line 1 Yonge-University,6006,False,Subway Radio System Fault 
2025-01-07,07:03,Tuesday,KEELE,SUDP,5,8,E,Line 2 Bloor-Danforth,5169,True,Disorderly Patron
2025-01-07,07:38,Tuesday,PIONEER VILLAGE STATIO,SUDP,6,9,N,Line 1 Yonge-University,5381,True,Disorderly Patron
2025-01-07,08:36,Tuesday,BATHURST,EUNT,3,5,E,Line 2 Bloor-Danforth,5206,True,Equipment - No Trouble Found
2025-01-07,08:46,Tuesday,KIPLING,MUSAN,4,6,E,Line 2 Bloor-Danforth,5094,True,Unsanitary Vehicle
2025-01-07,10:36,Tuesday,BLOOR,SUDP,3,8,N,Line 1 Yonge-University,5611,False,Disorderly Patron
2025-01-07,11:33,Tuesday,COXWELL,TUNIP,3,7,W,Line 2 Bloor-Danforth,5256,False,Operator Not In Position
2025-01-07,12:30,Tuesday,HIGH PARK,EUNT,4,8,W,Line 2 Bloor-Danforth,5365,False,Equipment - No Trouble Found
2025-01-07,12:33,Tuesday,ST CLAIR WEST,MUO,3,8,N,Line 1 Yonge-University,5426,False,Miscellaneous Other
2025-01-07,12:35,Tuesday,OSSINGTON,TUMVS,4,8,E,Line 2 Bloor-Danforth,5038,False,Operator Violated Signal
2025-01-07,12:55,Tuesday,KIPLING,MUTO,3,7,E,Line 2 Bloor-Danforth,5148,False,Misc. Transportation Other - Employee Non-Chargeable
2025-01-07,13:42,Tuesday,COLLEGE,SUDP,3,8,S,Line 1 Yonge-University,6011,False,Disorderly Patron
2025-01-07,15:45,Tuesday,DAVISVILLE,MUD,3,7,S,Line 1 Yonge-University,5461,False,Door Problems - Passenger Related
2025-01-07,15:48,Tuesday,YORKDALE,TUS,4,8,S,Line 1 Yonge-University,5811,False,Crew Unable to Maintain Schedule
2025-01-07,15:51,Tuesday,FINCH,EUCD,4,8,S,Line 1 Yonge-University,5956,False,Consequential Delay (2nd Delay Same Fault)
2025-01-07,16:29,Tuesday,DUPONT,SUDP,16,18,S,Line 1 Yonge-University,5406,True,Disorderly Patron
2025-01-07,16:51,Tuesday,ST GEORGE YUS,MUPAA,4,6,N,Line 1 Yonge-University,5961,True,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-07,17:51,Tuesday,ST GEORGE YUS,MUSAN,8,11,N,Line 1 Yonge-University,5785,True,Unsanitary Vehicle
2025-01-07,18:46,Tuesday,HIGHWAY 407,SUDP,7,10,N,Line 1 Yonge-University,5711,True,Disorderly Patron
2025-01-07,19:31,Tuesday,COLLEGE,PUOPO,5,7,S,Line 1 Yonge-University,5961,False,OPTO (COMMS) Train Door Monitoring
2025-01-07,20:39,Tuesday,BROADVIEW,MUIR,16,21,E,Line 2 Bloor-Danforth,5319,False,Injured or ill Customer (On Train) - Medical Aid Refused
2025-01-07,21:01,Tuesday,QUEEN'S PARK,MUDD,7,11,S,Line 1 Yonge-University,5516,False,Door Problems - Debris Related
2025-01-07,21:41,Tuesday,BLOOR,SUDP,7,11,N,Line 1 Yonge-University,6091,False,Disorderly Patron
2025-01-07,22:19,Tuesday,HIGH PARK,SUDP,8,13,W,Line 2 Bloor-Danforth,5280,False,Disorderly Patron
2025-01-07,00:06,Tuesday,SPADINA YUS,SUDP,8,14,N,Line 1 Yonge-University,5656,False,Disorderly Patron
2025-01-07,00:18,Tuesday,ST GEORGE YUS,MUO,3,9,N,Line 1 Yonge-University,5391,False,Miscellaneous Other
2025-01-08,02:24,Wednesday,KENNEDY BD,TUMVS,3,9,E,Line 2 Bloor-Danforth,5142,False,Operator Violated Signal
2025-01-08,05:38,Wednesday,YORK MILLS,TUCC,10,0,N,Line 1 Yonge-University,5816,False,Transit Control Related Problems
2025-01-08,05:40,Wednesday,KENNEDY BD,TUCC,7,0,W,Line 2 Bloor-Danforth,5055,False,Transit Control Related Problems
2025-01-08,06:01,Wednesday,UNION STATION (TOWARDS,PUTR,10,0,N,Line 1 Yonge-University,5616,False,Rail Related Problem
2025-01-08,06:08,Wednesday,VICTORIA PARK,EUPI,4,6,E,Line 2 Bloor-Danforth,5180,False,Propulsion System
2025-01-08,06:38,Wednesday,DOWNSVIEW PARK,MUPAA,4,7,N,Line 1 Yonge-University,5846,False,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-08,06:50,Wednesday,FINCH,MUSAN,3,5,S,Line 1 Yonge-University,5996,False,Unsanitary Vehicle
2025-01-08,07:00,Wednesday,ST GEORGE YUS,SUDP,13,15,N,Line 1 Yonge-University,5981,True,Disorderly Patron
2025-01-08,07:44,Wednesday,KIPLING,EUPI,3,5,E,Line 2 Bloor-Danforth,5206,True,Propulsion System
2025-01-08,11:05,Wednesday,KENNEDY BD,MUPAA,4,8,W,Line 2 Bloor-Danforth,5316,False,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-08,11:32,Wednesday,SPADINA YUS,PUSAC,4,9,S,Line 1 Yonge-University,5716,False,Signals Axle Counter Block Failure
2025-01-08,13:00,Wednesday,QUEEN'S PARK,SUEAS,19,24,N,Line 1 Yonge-University,5746,False,Emergency Alarm Station Activation
2025-01-08,13:17,Wednesday,SHEPPARD,SUUT,11,16,N,Line 1 Yonge-University,5966,False,Unauthorized at Track Level
2025-01-08,13:42,Wednesday,CASTLE FRANK,SUDP,5,9,E,Line 2 Bloor-Danforth,5208,False,Disorderly Patron
2025-01-08,14:24,Wednesday,KENNEDY BD,EUDO,4,8,W,Line 2 Bloor-Danforth,5025,False,Door Problems - Faulty Equipment
2025-01-08,14:30,Wednesday,COLLEGE,SUUT,8,13,S,Line 1 Yonge-University,5711,False,Unauthorized at Track Level
2025-01-08,15:16,Wednesday,KENNEDY BD,MUI,3,6,W,Line 2 Bloor-Danforth,5324,False,Injured or ill Customer (On Train) - Transported
2025-01-08,16:10,Wednesday,EGLINTON,TUO,5,9,N,Line 1 Yonge-University,6066,True,Transportation Department - Other
2025-01-08,16:14,Wednesday,YORKDALE,SUDP,10,14,S,Line 1 Yonge-University,5646,True,Disorderly Patron
2025-01-08,17:47,Wednesday,ST ANDREW,MUO,5,7,S,Line 1 Yonge-University,5411,True,Miscellaneous Other
2025-01-08,17:49,Wednesday,BLOOR,SUDP,4,6,S,Line 1 Yonge-University,5821,True,Disorderly Patron
2025-01-08,18:40,Wednesday,KENNEDY BD,TUS,3,7,W,Line 2 Bloor-Danforth,5139,True,Crew Unable to Maintain Schedule
2025-01-08,18:41,Wednesday,LAWRENCE,SUDP,25,28,N,Line 1 Yonge-University,5806,True,Disorderly Patron
2025-01-08,19:43,Wednesday,MUSEUM,MUO,4,8,S,Line 1 Yonge-University,5876,False,Miscellaneous Other
2025-01-08,20:07,Wednesday,RUNNYMEDE,SUO,22,26,E,Line 2 Bloor-Danforth,5145,False,Passenger Other
2025-01-08,20:29,Wednesday,ISLINGTON,MUPAA,4,7,E,Line 2 Bloor-Danforth,5341,False,Passenger Assistance Alarm Activated - No Trouble Found
2025-01-08,21:02,Wednesday,ST CLAIR WEST,SUUT,21,25,N,Line 1 Yonge-University,5711,False,Unauthorized at Track Level
2025-01-08,22:35,Wednesday,WELLESLEY,PUOPO,5,10,S,Line 1 Yonge-University,5686,False,OPTO (COMMS) Train Door Monitoring
2025-01-08,11:32,Wednesday,DON MILLS,MUSC,5,12,W,Line 4 Sheppard,6161,False,Miscellaneous Speed Control
2025-01-09,05:59,Thursday,KING,PUTR,8,0,S,Line 1 Yonge-University,5526,False,Rail Related Problem
2025-01-09,06:23,Thursday,EGLINTON,EUME,3,6,N,Line 1 Yonge-University,5641,False,RC&S Maintenance Error - (Human)
2025-01-09,07:03,Thursday,ST CLAIR,PUOPO,3,6,S,Line 1 Yonge-University,5676,True,OPTO (COMMS) Train Door Monitoring
2025-01-09,08:38,Thursday,LAWRENCE,EUO,6,8,N,Line 1 Yonge-University,5806,True,RC&S Other
2025-01-09,08:58,Thursday,KENNEDY BD,MUSAN,3,6,W,Line 2 Bloor-Danforth,5280,True,Unsanitary Vehicle
2025-01-09,09:04,Thursday,NORTH YORK CTR,PUOPO,3,5,S,Line 1 Yonge-University,5416,False,OPTO (COMMS) Train Door Monitoring
